id,constituency_no,constituency_name,district_name,candidate_name,party_code,party_name,votes_received,total_votes,vote_percentage,margin,status,state_code,state_name
1,34,Abhayapuri North,Bongaigaon,Abdul Batin Khandakar,INC,Indian National Congress,158192,158192,94.2,32781,Won,18,Assam
2,35,Abhayapuri South,Bongaigaon,Pradip Sarkar,INC,Indian National Congress,183417,183417,94.4,47085,Won,18,Assam
3,8,Algapur,Hailakandi,Nijam Uddin Choudhury,AIUDF,All India United Democratic Front,134584,134584,88.3,17604,Won,18,Assam
4,103,Amguri,Sibsagar,Prodip Hazarika,AGP,Asom Gana Parisad,102571,102571,85,6179,Won,18,Assam
5,5,Badarpur,Karimganj,Abdul Aziz,AIUDF,All India United Democratic Front,129786,129786,84.1,23948,Won,18,Assam
6,45,Baghbar,Barpeta,Sherman Ali Ahmed,INC,Indian National Congress,150536,150536,97.1,13942,Won,18,Assam
7,20,Baithalangso,Karbi Anglong,Rupsing Teron,BJP,Bharatiya Janta Party,161030,161030,80.3,53437,Won,18,Assam
8,62,Barama,Nalbari,Bhupen Baro,UPPL,United Peoples Party Liberal,131255,131255,80.9,23772,Won,18,Assam
9,87,Barhampur,Nagaon,Jitu Goswami,BJP,Bharatiya Janta Party,142666,142666,81.8,751,Won,18,Assam
10,60,Barkhetri,Nalbari,Diganta Barman,INC,Indian National Congress,172578,172578,93.5,4054,Won,18,Assam
11,14,Barkhola,Cachar,Misbahul Islam Laskar,INC,Indian National Congress,123349,123349,86.3,7031,Won,18,Assam
12,43,Barpeta,Barpeta,Abdur Rahim Ahmed,INC,Indian National Congress,180265,180265,91.4,44719,Won,18,Assam
13,84,Batadroba,Nagaon,Sibamoni Bora,INC,Indian National Congress,139348,139348,90.4,32820,Won,18,Assam
14,41,Bhabanipur,Barpeta,Phanidhar Talukdar,AIUDF,All India United Democratic Front,124566,124566,88.5,3227,Won,18,Assam
15,77,Behali,Sonitpur,Ranjit Dutta,BJP,Bharatiya Janta Party,102201,102201,85.1,29839,Won,18,Assam
16,109,Bihpuria,Lakhimpur,Dr. Amiya Kumar Bhuyan,BJP,Bharatiya Janta Party,120712,120712,82.7,10178,Won,18,Assam
17,33,Bijni,Bongaigaon,Ajoy Kumar Ray,BJP,Bharatiya Janta Party,138527,138527,91.1,1003,Won,18,Assam
18,27,Bilasipara East,Dhubri,Samsul Huda,AIUDF,All India United Democratic Front,194036,194036,93,49300,Won,18,Assam
19,26,Bilasipara West,Dhubri,Hafiz Bashir Ahmed,AIUDF,All India United Democratic Front,159886,159886,96.8,59758,Won,18,Assam
20,76,Biswanath,Sonitpur,Promod Borthakur,BJP,Bharatiya Janta Party,138379,138379,87.9,9210,Won,18,Assam
21,17,Bokajan,Karbi Anglong,Numal Momin,BJP,Bharatiya Janta Party,117361,117361,83.1,17885,Won,18,Assam
22,93,Bokakhat,Golaghat,Atul Bora,AGP,Asom Gana Parisad,117945,117945,83.5,45181,Won,18,Assam
